Pairs,IBS
AD230DS_AD147,0.9311
AD233_AD26DS,0.9337
AD238DS_AD316DS,0.954
AD26DS_AD221,0.9559
AD284_AD330,0.9891
AD316DS_AD238DS,0.954
AD330_AD284,0.9891
AD347DS-1_AD347DS-2,0.9935
AD347DS-2_AD347DS-1,0.9935
AD352_AD440DS-2,0.93
AD363-1_AD363-2,0.9666
AD363-2_AD363-1,0.9666
AD370_AD330,0.9469
AD402DS_Sg18,0.9313
AD440DS-1_AD440DS-2,0.998
AD440DS-2_AD440DS-1,0.998
AD448DS_AD440DS-2,0.9661
ADH10_HP62-02,0.9246
ADSA1_HP72-11,0.9694
ADSA10_ADSA13,0.9785
ADSA11_ADSA10,0.9751
ADSA12_ADSA13,0.9755
ADSA13_ADSA14,0.9809
ADSA14_ADSA13,0.9809
ADSA15_HP72-11,0.9749
ADSA16_ADSA18,0.9729
ADSA17_ADSA18,0.9704
ADSA18_ADSA16,0.9729
ADSA19_ADSA21,0.9905
ADSA2_ADSA1,0.9652
ADSA20_ADSA19,0.967
ADSA21_ADSA19,0.9905
ADSA3_ADSA2,0.9639
ADSA4_ADSA5,0.9768
ADSA5_ADSA4,0.9768
ADSA6_ADSA4,0.9642
ADSA7_ADSA8,0.9748
ADSA8_ADSA7,0.9748
ADSA9_HP72-11,0.9665
ADSg1501_Sg1533,0.9962
ADSg1501-1_ADSg1501-2,0.9978
ADSg1501-2_ADSg1501-1,0.9978
ADSg1501-3_ADSg1501-1,0.996
ADSg1501-4_ADSg1501-5,0.9951
ADSg1501-5_ADSg1501,0.9955
ADSg1501-6_ADSg1501-1,0.996
AH83_38-11,0.9899
AR200_AR202,0.9691
AR202_AR200,0.9691
AR204_K4,0.9395
AR206_GE54,0.9396
AR208_NC238,0.9615
AR214_B57,0.9068
AR224_Va35,0.9273
AR226_NC240,0.919
AR228_T202,0.8866
AR234_AR242,0.9684
AR242_AR234,0.9684
AR250_Mo18W,0.9222
AR254_NC234,0.9166
AR258_Mo18W,0.9112
AR266_NC232,0.9153
AR270_MP462,0.9697
AR272_T204,0.9321
AR276_AR214,0.9025
AR280_AR242,0.928
AR296_CI21E,0.9328
AR400_Tx441,0.9191
AusTRCF305795_AusTRCF306259,0.8641
AusTRCF305801_AusTRCF305802,0.9391
AusTRCF305802_AusTRCF305801,0.9391
AusTRCF305803_AusTRCF306254,0.9131
AusTRCF305806_CI66,0.9974
AusTRCF305808_AusTRCF306254,0.9739
AusTRCF305816_AusTRCF306258,0.9551
AusTRCF305817_AusTRCF306352,0.9321
AusTRCF305819_B73,0.9332
AusTRCF305821_AusTRCF306254,0.9702
AusTRCF305822_B73,0.9151
AusTRCF305823_B73,0.9445
AusTRCF305825_Mo18W,0.9421
AusTRCF305829_58801InbredMo17,0.955
AusTRCF305831_AusTRCF306344,0.9952
AusTRCF305833_B73,0.9773
AusTRCF305834_AusTRCF306295,0.9146
AusTRCF305835_AusTRCF305836,0.97
AusTRCF305836_AusTRCF305835,0.97
AusTRCF305839_AusTRCF305840,0.9905
AusTRCF305840_AusTRCF305839,0.9905
AusTRCF305841_AusTRCF306297,0.9733
AusTRCF305846_58801InbredMo17,0.9961
AusTRCF305849_Mo17T,0.9927
AusTRCF306065_58801InbredMo17,0.9688
AusTRCF306068_AusTRCF306269,0.9586
AusTRCF306234_H84,0.8896
AusTRCF306235_B73,0.9753
AusTRCF306236_Mo18W,0.9258
AusTRCF306237_Mo18W,0.9204
AusTRCF306238_WXK64,0.9285
AusTRCF306239_AusTRCF305829,0.9179
AusTRCF306240_AusTRCF306241,0.9386
AusTRCF306241_AusTRCF306240,0.9386
AusTRCF306242_Mo18W,0.9549
AusTRCF306244_AusTRCF306245,0.9293
AusTRCF306245_AusTRCF306244,0.9293
AusTRCF306254_AusTRCF305808,0.9739
AusTRCF306256_AusTRCF306254,0.9558
AusTRCF306257_AusTRCF306258,0.8827
AusTRCF306258_AusTRCF305816,0.9551
AusTRCF306259_AusTRCF305803,0.8681
AusTRCF306261_AusTRCF305803,0.8686
AusTRCF306264_AusTRCF305817,0.8992
AusTRCF306269_AusTRCF306068,0.9586
AusTRCF306273_AusTRCF306285,0.9554
AusTRCF306274_AusTRCF306285,0.9529
AusTRCF306276_AusTRCF306286,0.9445
AusTRCF306278_AusTRCF306274,0.9524
AusTRCF306280_AusTRCF306281,0.9561
AusTRCF306281_AusTRCF306280,0.9561
AusTRCF306282_AusTRCF306273,0.9485
AusTRCF306285_AusTRCF306286,0.957
AusTRCF306286_AusTRCF306285,0.957
AusTRCF306287_AusTRCF305841,0.9677
AusTRCF306290_AusTRCF305841,0.9711
AusTRCF306293_AusTRCF306294,0.994
AusTRCF306294_AusTRCF306293,0.994
AusTRCF306295_AusTRCF306296,0.9872
AusTRCF306296_AusTRCF306295,0.9872
AusTRCF306297_AusTRCF306295,0.9764
AusTRCF306301_AusTRCF306295,0.9544
AusTRCF306302_AusTRCF306304,0.995
AusTRCF306303_AusTRCF306302,0.9948
AusTRCF306304_AusTRCF306302,0.995
AusTRCF306306_AusTRCF306307,0.9874
AusTRCF306307_AusTRCF306308,0.9891
AusTRCF306308_AusTRCF306307,0.9891
AusTRCF306309_B73,0.9905
AusTRCF306310_AusTRCF306309,0.9887
AusTRCF306312_AusTRCF306316,0.9401
AusTRCF306316_AusTRCF305821,0.9555
AusTRCF306319_AusTRCF305821,0.9655
AusTRCF306321_AusTRCF306322,0.9681
AusTRCF306322_AusTRCF306321,0.9681
AusTRCF306323_4226,0.9967
AusTRCF306324_AusTRCF306321,0.9557
AusTRCF306327_AusTRCF305801,0.9166
AusTRCF306333_AusTRCF306235,0.9561
AusTRCF306335_W64A,0.9419
AusTRCF306336_AusTRCF306337,0.9497
AusTRCF306337_AusTRCF306336,0.9497
AusTRCF306343_AusTRCF306346,0.9312
AusTRCF306344_AusTRCF305831,0.9952
AusTRCF306345_AusTRCF306346,0.9348
AusTRCF306346_AusTRCF306345,0.9348
AusTRCF306347_AusTRCF306348,0.9915
AusTRCF306348_AusTRCF306347,0.9915
AusTRCF306350_AusTRCF305841,0.9351
AusTRCF306351_AusTRCF306354,0.9732
AusTRCF306352_AusTRCF306354,0.9825
AusTRCF306353_AusTRCF306352,0.9816
AusTRCF306354_AusTRCF306352,0.9825
AusTRCF306355_AusTRCF306352,0.9559
AusTRCF306356_AusTRCF306357,0.9868
AusTRCF306357_AusTRCF306356,0.9868
B06_I205,0.9589
B10_B38,0.9469
B100_B102,0.9892
B101_58615B73MethBc5S4,0.9106
B102_B100,0.9892
B103_OC4,0.9537
B104_B121,0.9528
B105_B111,0.9397
B106_Va59,0.8957
B107_B114,0.996
B108_B73,0.8653
B109_B73,0.9758
B110_B121,0.9513
B111_B94,0.9402
B113_B115,0.8757
B114_B107,0.996
B115_B98,0.8831
B116_B97,0.9656
B117_B118,0.9966
B118_B117,0.9966
B119_B121,0.9535
B120_B117,0.9341
B121_B119,0.9535
B14_B14A,0.9974
B14A_B14,0.9974
B-15DENTSTERILE_RB-15DENTSTERILE,0.9728
B164_A265,0.9456
B-16INBR.FR.SUPERGOLD_Sg18,0.9264
